date,cash,open_positions_value,total_portfolio_value,realized_pnl_to_date,unrealized_pnl,daily_return,cumulative_return,spy_cumulative_return,qqq_cumulative_return,equal_weight_cumulative_return
2024-05-14,12142.45,105816.22,117958.67,15085.16,2873.49,0.023164,0.179587,0.110602,0.109118,0.209961
2024-05-15,12142.45,108147.42,120289.87,15085.16,5204.69,0.019763,0.202899,0.124354,0.126453,0.237292
2024-05-16,12142.45,107672.85,119815.3,15085.16,4730.13,-0.003945,0.198153,0.122041,0.124165,0.231635
2024-05-17,12142.45,108751.97,120894.42,15085.16,5809.25,0.009007,0.208944,0.123654,0.123618,0.24453
2024-05-20,12142.45,109784.91,121927.36,15085.16,6842.19,0.008544,0.219274,0.124949,0.131453,0.256256
2024-05-21,12142.45,110189.15,122331.6,15085.16,7246.43,0.003315,0.223316,0.127708,0.133666,0.260718
2024-05-22,12142.45,109871.55,122014.0,15085.16,6928.83,-0.002596,0.22014,0.12446,0.133443,0.256691
2024-05-23,12142.45,109090.89,121233.34,15085.16,6148.16,-0.006398,0.212333,0.116247,0.128344,0.247725
2024-05-24,12142.45,110031.46,122173.91,15085.16,7088.74,0.007758,0.221739,0.123633,0.139014,0.259082
2024-05-28,12142.45,109978.87,122121.32,15085.16,7036.15,-0.00043,0.221213,0.124418,0.143317,0.258045
2024-05-29,12142.45,109968.66,122111.11,15085.16,7025.93,-8.4e-05,0.221111,0.116544,0.135258,0.258234
2024-05-30,12142.45,103130.84,115273.29,15085.16,188.12,-0.055997,0.152733,0.109137,0.123096,0.178336
2024-05-31,12142.45,102948.07,115090.52,15085.16,5.34,-0.001586,0.150905,0.11924,0.121006,0.176036
2024-06-03,12142.45,102856.07,114998.52,15085.16,-86.66,-0.000799,0.149985,0.120152,0.127026,0.174602
2024-06-04,12142.45,102949.37,115091.82,15085.16,6.64,0.000811,0.150918,0.121404,0.13011,0.175252
2024-06-05,12142.45,108405.82,120548.27,15085.16,5463.1,0.04741,0.205483,0.134732,0.152892,0.240088
2024-06-06,12142.45,108508.8,120651.25,15085.16,5566.08,0.000854,0.206513,0.134711,0.152494,0.241073
2024-06-07,12142.45,110100.19,122242.64,15085.16,7157.47,0.01319,0.222426,0.133332,0.151475,0.259928
2024-06-10,53678.14,71279.69,124957.83,23590.88,1366.93,0.022211,0.249578,0.136833,0.156126,0.293334
2024-06-11,15176.68,109968.54,125145.22,23590.88,1554.32,0.0015,0.251452,0.139571,0.16406,0.309255
2024-06-12,15176.68,115645.13,130821.81,23590.88,7230.92,0.04536,0.308218,0.148931,0.179307,0.373744
2024-06-13,15176.68,115081.64,130258.32,23590.88,6667.43,-0.004307,0.302583,0.151244,0.185699,0.366346
2024-06-14,15176.68,114936.93,130113.61,23590.88,6522.71,-0.001111,0.301136,0.151944,0.191842,0.365235
2024-06-17,15176.68,116827.85,132004.53,23590.88,8413.64,0.014533,0.320045,0.161113,0.206442,0.38747
2024-06-18,15176.68,117514.78,132691.46,23590.88,9100.56,0.005204,0.326915,0.164063,0.206815,0.395139
